,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:15.4,768.15,-219.33,-284.06,164.01,89.4,,,
00:15.4,769.39,-218.14,-284.4,162.21,88.87,,,
00:15.5,770.62,-216.97,-284.77,160.36,88.26,,,
00:15.6,771.84,-215.82,-285.18,158.52,87.56,,,
00:15.6,773.05,-214.69,-285.62,156.67,86.79,,,
00:15.7,774.25,-213.59,-286.09,154.8,85.94,,,
00:15.7,775.44,-212.51,-286.59,153,85.09,,,
00:15.8,776.61,-211.46,-287.12,151.28,84.21,,,
00:15.8,777.78,-210.44,-287.68,149.61,83.33,,,
00:15.9,778.93,-209.44,-288.25,147.92,82.46,,,
00:15.9,780.06,-208.47,-288.85,146.22,81.62,,,
00:16.0,781.19,-207.53,-289.48,144.54,80.79,,,
00:16.0,782.31,-206.62,-290.12,142.87,79.96,,,
00:16.1,783.41,-205.74,-290.78,141.16,79.16,,,
00:16.1,784.51,-204.89,-291.47,139.43,78.47,,,
00:16.1,785.59,-204.07,-292.18,137.69,77.91,,,
00:16.2,786.67,-203.27,-292.91,135.96,77.41,,,
00:16.3,787.74,-202.51,-293.66,134.17,76.95,,,
00:16.3,788.81,-201.78,-294.43,132.28,76.49,,,
00:16.3,789.87,-201.07,-295.22,130.27,76.04,,,
00:16.4,790.93,-200.4,-296.03,128.24,75.59,,,
00:16.5,791.97,-199.76,-296.86,126.26,75.15,,,
00:16.5,793.02,-199.16,-297.7,124.3,74.7,,,
00:16.6,794.05,-198.59,-298.56,122.3,74.26,,,
00:16.6,795.08,-198.06,-299.44,120.21,73.82,,,
00:16.6,796.11,-197.56,-300.33,118.06,73.39,,,
00:16.7,797.12,-197.09,-301.23,115.9,72.96,,,
00:16.7,798.14,-196.66,-302.15,113.8,72.53,,,
00:16.8,799.14,-196.27,-303.07,111.72,72.12,,,
00:16.9,800.14,-195.92,-304,109.57,72.03,,,
00:16.9,801.15,-195.6,-304.95,107.43,72.22,,,
00:16.9,802.16,-195.32,-305.92,105.44,72.59,,,
00:17.0,803.17,-195.07,-306.89,103.55,73.05,,,
00:17.0,804.19,-194.85,-307.89,101.64,73.54,,,
00:17.1,805.21,-194.66,-308.89,99.65,74.06,,,
