,sLapDistance,xCarX,xCarY,vCar,aYaw
00:13.3,762.06,334.81,320.68,217.46,-68.34
00:13.4,765.09,333.69,323.49,218.08,-68.43
00:13.4,768.12,332.57,326.31,218.63,-68.51
00:13.5,771.16,331.45,329.14,219.15,-68.62
00:13.6,774.21,330.33,331.97,219.76,-68.74
00:13.6,777.26,329.21,334.82,220.32,-68.84
00:13.6,780.33,328.1,337.67,220.88,-68.92
00:13.7,783.4,326.99,340.53,221.35,-68.99
00:13.8,786.47,325.88,343.4,220.72,-69.04
00:13.8,789.52,324.79,346.25,218.73,-69.08
00:13.9,792.54,323.71,349.07,216.03,-69.12
00:13.9,795.52,322.64,351.85,212.85,-69.16
00:14.0,798.45,321.59,354.59,209.42,-69.15
00:14.0,801.33,320.57,357.28,205.86,-69.05
00:14.1,804.17,319.55,359.93,202.33,-68.93
00:14.1,806.95,318.56,362.53,198.79,-68.8
00:14.2,809.69,317.57,365.08,195.07,-68.69
00:14.2,812.37,316.61,367.58,191.08,-68.63
00:14.3,815,315.66,370.03,187.1,-68.61
00:14.3,817.57,314.73,372.43,183.28,-68.58
00:14.3,820.09,313.81,374.78,179.64,-68.51
00:14.4,822.56,312.91,377.08,176.12,-68.35
00:14.5,824.99,312.02,379.33,172.64,-68.12
00:14.5,827.36,311.15,381.53,169.23,-67.82
00:14.6,829.69,310.28,383.69,165.82,-67.42
00:14.6,831.96,309.42,385.81,162.4,-66.97
00:14.6,834.2,308.57,387.87,159.11,-66.49
00:14.7,836.39,307.73,389.89,156.08,-65.99
00:14.7,838.54,306.89,391.87,153.49,-65.31
00:14.8,840.65,306.04,393.8,150.82,-64.53
00:14.8,842.73,305.19,395.7,148.16,-63.65
00:14.9,844.76,304.34,397.55,145.38,-62.85
00:14.9,846.76,303.47,399.35,142.69,-62.69
00:15.0,848.73,302.59,401.11,140.41,-62.51
00:15.0,850.66,301.72,402.83,138.29,-61.94
00:15.1,852.57,300.84,404.52,136.17,-60.98
00:15.1,854.44,299.95,406.18,134.01,-59.74
00:15.2,856.29,299.06,407.79,131.71,-58.62
00:15.2,858.1,298.16,409.36,129.51,-57.58
00:15.3,859.88,297.24,410.89,127.42,-56.6
00:15.3,861.64,296.3,412.38,125.65,-55.69
00:15.4,863.37,295.35,413.83,124.06,-54.77
00:15.4,865.09,294.39,415.24,122.42,-53.74
00:15.5,866.77,293.41,416.62,120.71,-52.43
00:15.6,868.44,292.42,417.96,119.03,-50.95
00:15.6,870.08,291.41,419.26,117.47,-49.56
00:15.7,871.7,290.39,420.52,115.96,-48.22
00:15.7,873.3,289.36,421.74,114.56,-46.84
00:15.8,874.88,288.3,422.92,113.2,-45.51
00:15.8,876.44,287.24,424.06,111.71,-44.19
00:15.9,877.98,286.16,425.16,110.14,-42.72
00:15.9,879.5,285.06,426.21,108.61,-41.15
00:16.0,881,283.96,427.22,107.12,-39.66
00:16.0,882.47,282.84,428.18,105.64,-38.27
00:16.1,883.93,281.7,429.1,104.12,-36.84
00:16.1,885.37,280.56,429.97,102.61,-35.23
00:16.1,886.78,279.41,430.79,101.14,-33.54
00:16.2,888.18,278.25,431.57,99.67,-31.82
00:16.3,889.55,277.08,432.29,98.25,-30.07
00:16.3,890.91,275.91,432.97,96.82,-28.37
00:16.3,892.24,274.74,433.61,95.34,-26.53
00:16.4,893.56,273.56,434.19,93.89,-24.28
00:16.5,894.85,272.38,434.73,92.51,-21.94
00:16.5,896.13,271.21,435.22,91.15,-20.01
00:16.6,897.39,270.03,435.66,89.73,-18.27
00:16.6,898.62,268.86,436.05,88.39,-16.38
00:16.6,899.84,267.69,436.4,87.14,-14.35
00:16.7,901.05,266.53,436.71,85.97,-12.25
00:16.7,902.23,265.37,436.97,84.82,-10.32
00:16.8,903.4,264.22,437.18,83.67,-8.63
00:16.9,904.56,263.08,437.36,82.52,-6.82
00:16.9,905.7,261.95,437.48,81.43,-4.76
00:16.9,906.82,260.83,437.57,80.39,-2.69
00:17.0,907.93,259.72,437.61,79.33,-0.7
00:17.0,909.03,258.63,437.62,78.27,1.36
00:17.1,910.11,257.55,437.58,77.23,3.48
00:17.1,911.18,256.49,437.5,76.29,5.5
00:17.2,912.23,255.44,437.38,75.44,7.47
00:17.3,913.28,254.41,437.23,74.81,9.65
00:17.3,914.32,253.39,437.04,74.57,12.09
00:17.4,915.36,252.38,436.81,74.52,14.43
00:17.4,916.39,251.38,436.54,74.54,16.49
00:17.5,917.43,250.39,436.23,74.7,18.49
00:17.5,918.47,249.41,435.88,74.99,20.58
00:17.6,919.52,248.44,435.5,75.43,22.68
00:17.6,920.57,247.48,435.07,75.98,24.73
00:17.6,921.64,246.53,434.61,76.63,26.88
00:17.7,922.71,245.58,434.1,77.43,29.17
00:17.7,923.79,244.65,433.56,78.33,31.45
00:17.8,924.89,243.72,432.98,79.26,33.55
00:17.8,926,242.81,432.36,80.24,35.6
00:17.9,927.12,241.9,431.7,81.28,37.68
00:17.9,928.26,241,431,82.35,39.75
00:18.0,929.41,240.12,430.26,83.45,41.8
00:18.0,930.58,239.25,429.49,84.58,43.83
00:18.1,931.76,238.39,428.67,85.73,45.72
00:18.1,932.96,237.55,427.82,86.88,47.48
00:18.2,934.18,236.72,426.93,88.07,49.25
00:18.3,935.41,235.91,426,89.31,51.01
00:18.3,936.66,235.12,425.04,90.59,52.73
00:18.4,937.92,234.34,424.04,91.9,54.44
