,sLapDistance,xCarX,xCarY,vCar,aYaw
01:14.8,3083.35,-228.02,-346.22,138.05,-142.31
01:14.8,3085.25,-226.53,-345.05,135.21,-142.75
01:14.9,3087.1,-225.06,-343.91,132.17,-142.99
01:15.0,3088.92,-223.63,-342.8,129.08,-143.08
01:15.0,3090.69,-222.22,-341.72,126.05,-143.17
01:15.0,3092.42,-220.84,-340.67,123.17,-143.35
01:15.1,3094.11,-219.49,-339.66,120.36,-143.7
01:15.2,3095.77,-218.16,-338.67,117.63,-144.14
01:15.2,3097.38,-216.86,-337.72,114.84,-144.61
01:15.2,3098.96,-215.58,-336.79,112.17,-145.05
01:15.3,3100.5,-214.33,-335.9,109.92,-145.25
01:15.3,3102.01,-213.09,-335.03,108,-145.4
01:15.4,3103.5,-211.86,-334.19,106.25,-145.75
01:15.4,3104.96,-210.65,-333.37,104.59,-146.28
01:15.5,3106.4,-209.45,-332.57,102.99,-147.06
01:15.5,3107.82,-208.25,-331.81,101.42,-148.07
01:15.6,3109.22,-207.06,-331.08,99.85,-149.29
01:15.7,3110.6,-205.87,-330.38,98.28,-150.6
01:15.7,3111.95,-204.69,-329.72,96.71,-151.92
01:15.8,3113.28,-203.51,-329.1,95.11,-153.44
01:15.8,3114.59,-202.34,-328.51,93.57,-155.13
01:15.8,3115.89,-201.17,-327.96,92.09,-156.76
01:15.9,3117.15,-200.01,-327.46,90.63,-158.34
01:15.9,3118.4,-198.85,-326.99,89.17,-159.98
01:16.0,3119.63,-197.7,-326.57,87.65,-161.61
01:16.0,3120.84,-196.56,-326.18,86.15,-163.29
01:16.1,3122.02,-195.42,-325.84,84.68,-165.05
01:16.2,3123.19,-194.3,-325.53,83.26,-166.85
01:16.2,3124.34,-193.18,-325.27,81.95,-168.69
01:16.2,3125.47,-192.07,-325.04,80.76,-170.57
01:16.3,3126.58,-190.98,-324.85,79.7,-172.47
01:16.4,3127.68,-189.89,-324.7,78.71,-174.36
01:16.4,3128.77,-188.81,-324.59,77.8,-176.24
01:16.5,3129.84,-187.73,-324.52,76.98,-178.1
01:16.5,3130.91,-186.67,-324.48,76.28,-35.93
01:16.5,3131.96,-185.61,-324.48,75.67,178.29
01:16.6,3133.01,-184.57,-324.52,75.08,176.53
01:16.6,3134.05,-183.53,-324.59,74.47,174.68
01:16.7,3135.08,-182.51,-324.7,73.88,172.68
01:16.8,3136.1,-181.5,-324.85,73.31,170.61
01:16.8,3137.12,-180.5,-325.02,72.68,168.55
01:16.8,3138.12,-179.52,-325.24,71.82,166.48
01:16.9,3139.12,-178.56,-325.48,70.75,164.35
01:16.9,3140.09,-177.62,-325.76,69.58,162.14
01:17.0,3141.05,-176.72,-326.06,68.34,160.16
01:17.0,3141.99,-175.83,-326.38,67.08,158.91
01:17.1,3142.91,-174.97,-326.71,65.67,158.42
01:17.2,3143.82,-174.13,-327.04,64.24,158.41
01:17.2,3144.7,-173.31,-327.36,62.83,158.68
01:17.3,3145.56,-172.5,-327.66,61.47,159.24
01:17.3,3146.41,-171.7,-327.95,60.1,160.17
01:17.3,3147.23,-170.92,-328.2,58.79,161.45
01:17.4,3148.04,-170.15,-328.43,57.49,162.99
01:17.5,3148.84,-169.38,-328.63,56.17,164.74
01:17.5,3149.61,-168.63,-328.81,54.84,166.69
01:17.6,3150.37,-167.89,-328.94,53.48,168.8
01:17.6,3151.11,-167.17,-329.05,52.14,171.06
01:17.7,3151.83,-166.45,-329.12,50.88,173.44
01:17.7,3152.53,-165.76,-329.16,49.7,175.96
01:17.7,3153.22,-165.07,-329.16,48.65,178.59
01:17.8,3153.9,-164.41,-329.13,47.85,-178.64
01:17.8,3154.57,-163.75,-329.06,47.23,-175.78
01:17.9,3155.23,-163.1,-328.97,46.76,-172.88
01:18.0,3155.89,-162.47,-328.83,46.35,-169.93
01:18.0,3156.54,-161.85,-328.67,45.96,-166.93
01:18.0,3157.19,-161.25,-328.47,45.79,-163.87
01:18.1,3157.84,-160.65,-328.24,45.92,-160.82
01:18.2,3158.49,-160.07,-327.98,46.26,-157.84
01:18.2,3159.15,-159.49,-327.69,46.79,-154.9
01:18.3,3159.81,-158.93,-327.37,47.43,-151.95
01:18.3,3160.49,-158.37,-327.01,48.15,-148.96
01:18.3,3161.17,-157.82,-326.62,48.91,-145.96
01:18.4,3161.87,-157.28,-326.2,49.72,-142.95
01:18.5,3162.57,-156.75,-325.74,50.54,-139.94
01:18.5,3163.29,-156.23,-325.26,51.39,-136.93
01:18.5,3164.02,-155.74,-324.74,52.25,-133.93
01:18.6,3164.75,-155.25,-324.19,53.1,-130.94
01:18.7,3165.5,-154.79,-323.61,53.96,-128.02
01:18.7,3166.26,-154.34,-323,54.83,-125.27
01:18.7,3167.03,-153.91,-322.37,55.77,-122.84
01:18.8,3167.82,-153.5,-321.7,56.85,-120.76
01:18.8,3168.62,-153.1,-321.01,58.08,-118.98
01:18.9,3169.44,-152.71,-320.29,59.49,-117.45
01:19.0,3170.27,-152.34,-319.54,61.05,-116.1
01:19.0,3171.14,-151.97,-318.77,62.72,-114.89
01:19.1,3172.02,-151.61,-317.96,64.47,-113.82
01:19.1,3172.93,-151.26,-317.13,66.25,-112.82
01:19.2,3173.86,-150.9,-316.26,68.03,-111.91
01:19.2,3174.82,-150.55,-315.37,69.74,-111.2
01:19.3,3175.8,-150.2,-314.46,71.43,-110.75
01:19.3,3176.8,-149.84,-313.52,73.18,-110.56
01:19.3,3177.83,-149.47,-312.56,75.05,-110.62
01:19.4,3178.89,-149.09,-311.57,76.96,-110.88
01:19.5,3179.97,-148.7,-310.57,78.81,-111.27
01:19.5,3181.08,-148.29,-309.54,80.59,-111.74
01:19.6,3182.21,-147.87,-308.49,82.23,-112.34
01:19.6,3183.36,-147.42,-307.43,83.57,-113.17
01:19.7,3184.52,-146.97,-306.35,84.73,-114.24
01:19.7,3185.71,-146.49,-305.26,86.08,-115.57
01:19.8,3186.92,-145.99,-304.17,87.56,-116.96
01:19.8,3188.14,-145.46,-303.06,89,-118.11
01:19.8,3189.39,-144.89,-301.95,90.64,-118.91
01:19.9,3190.66,-144.29,-300.83,92.37,-119.41
01:20.0,3191.95,-143.66,-299.7,94.02,-119.77
01:20.0,3193.27,-143.01,-298.56,95.61,-120.28
01:20.0,3194.61,-142.34,-297.4,97.22,-120.98
01:20.1,3195.97,-141.64,-296.23,98.83,-121.87
01:20.1,3197.35,-140.92,-295.05,100.44,-122.88
01:20.2,3198.76,-140.16,-293.86,102.05,-123.87
01:20.3,3200.19,-139.38,-292.67,103.68,-124.79
01:20.3,3201.64,-138.57,-291.47,105.28,-125.67
01:20.3,3203.11,-137.72,-290.26,106.88,-126.56
01:20.4,3204.61,-136.85,-289.05,108.51,-127.43
01:20.4,3206.13,-135.94,-287.83,110.12,-128.26
01:20.5,3207.67,-135,-286.61,111.71,-129.05
01:20.5,3209.23,-134.03,-285.38,113.3,-129.89
01:20.6,3210.81,-133.03,-284.15,114.9,-130.76
01:20.7,3212.42,-132,-282.92,116.49,-131.7
01:20.7,3214.05,-130.94,-281.69,118.04,-132.71
01:20.8,3215.7,-129.84,-280.45,119.55,-133.78
01:20.8,3217.37,-128.71,-279.22,121.04,-134.87
01:20.8,3219.06,-127.55,-278,122.5,-135.96
01:20.9,3220.77,-126.35,-276.78,123.93,-137.04
01:21.0,3222.5,-125.11,-275.57,125.34,-138.09
01:21.0,3224.25,-123.84,-274.36,126.73,-139.1
01:21.1,3226.01,-122.54,-273.17,128.12,-140.08
01:21.1,3227.8,-121.2,-271.98,129.51,-140.99
01:21.2,3229.61,-119.83,-270.8,130.87,-141.85
01:21.2,3231.44,-118.42,-269.64,132.23,-142.71
01:21.2,3233.28,-116.98,-268.48,133.64,-143.45
01:21.3,3235.15,-115.5,-267.34,135.03,-143.94
01:21.3,3237.03,-114,-266.21,136.4,-144.31
01:21.4,3238.94,-112.46,-265.08,137.75,-144.67
01:21.5,3240.86,-110.9,-263.96,139.08,-145.05
01:21.5,3242.8,-109.32,-262.83,140.34,-145.54
01:21.5,3244.76,-107.71,-261.72,141.63,-146.13
01:21.6,3246.73,-106.08,-260.6,142.96,-146.68
01:21.6,3248.73,-104.43,-259.49,144.27,-147.07
01:21.7,3250.74,-102.75,-258.38,145.53,-147.39
01:21.8,3252.77,-101.04,-257.28,146.8,-147.72
01:21.8,3254.82,-99.32,-256.18,148.1,-147.97
01:21.8,3256.88,-97.57,-255.07,149.35,-148.11
01:21.9,3258.97,-95.81,-253.97,150.58,-148.2
01:22.0,3261.07,-94.03,-252.85,151.8,-148.26
01:22.0,3263.18,-92.23,-251.74,152.97,-148.32
01:22.0,3265.31,-90.41,-250.62,154.13,-148.39
01:22.1,3267.46,-88.59,-249.49,155.3,-148.47
01:22.2,3269.63,-86.74,-248.35,156.45,-148.55
01:22.2,3271.81,-84.88,-247.21,157.59,-148.63
01:22.2,3274,-83.01,-246.07,158.75,-148.7
01:22.3,3276.22,-81.12,-244.92,159.89,-148.76
01:22.3,3278.45,-79.22,-243.76,161,-148.8
01:22.4,3280.69,-77.3,-242.6,162.12,-148.84
01:22.5,3282.95,-75.37,-241.43,163.23,-148.88
01:22.5,3285.23,-73.42,-240.25,164.34,-148.92
01:22.6,3287.51,-71.46,-239.07,165.41,-148.95
01:22.6,3289.82,-69.48,-237.88,166.48,-148.97
01:22.7,3292.14,-67.5,-236.68,167.54,-149
01:22.7,3294.47,-65.5,-235.48,168.56,-149.03
01:22.7,3296.82,-63.48,-234.27,169.59,-149.06
01:22.8,3299.18,-61.46,-233.06,170.63,-149.08
01:22.8,3301.56,-59.42,-231.83,171.65,-149.06
01:22.9,3303.95,-57.37,-230.6,172.65,-149
01:23.0,3306.36,-55.31,-229.37,173.66,-148.92
01:23.0,3308.78,-53.24,-228.12,174.64,-148.83
01:23.0,3311.21,-51.16,-226.86,175.61,-148.73
01:23.1,3313.65,-49.06,-225.59,176.57,-148.63
01:23.2,3316.11,-46.96,-224.32,177.55,-148.53
01:23.2,3318.59,-44.85,-223.03,178.52,-148.43
01:23.3,3321.07,-42.73,-221.73,179.45,-148.34
01:23.3,3323.57,-40.6,-220.42,180.38,-148.25
01:23.3,3326.08,-38.47,-219.11,181.3,-148.15
01:23.4,3328.61,-36.32,-217.78,182.24,-148.04
01:23.4,3331.14,-34.16,-216.44,183.16,-147.95
01:23.5,3333.69,-32,-215.09,184.02,-147.88
01:23.5,3336.25,-29.83,-213.73,184.91,-147.77
01:23.6,3338.83,-27.65,-212.36,185.83,-147.67
