,sLapDistance,xCarX,xCarY,aYaw,vCar
00:11.4,480.49,544.82,567.72,7.68,123.53
00:11.5,482.19,543.13,567.51,8.6,121.76
00:11.5,483.87,541.46,567.27,9.51,120.07
00:11.6,485.52,539.83,567.01,10.75,118.4
00:11.6,487.15,538.22,566.72,12.08,116.66
00:11.6,488.76,536.64,566.41,13.27,115.17
00:11.7,490.35,535.09,566.07,14.35,113.71
00:11.7,491.92,533.57,565.69,15.55,112.25
00:11.8,493.47,532.07,565.29,16.8,110.87
00:11.8,495,530.6,564.86,18.04,109.54
00:11.9,496.51,529.16,564.41,19.38,108.22
00:11.9,498.01,527.74,563.93,20.73,106.92
00:12.0,499.48,526.35,563.43,22.1,105.64
00:12.0,500.94,525,562.9,23.4,104.34
00:12.1,502.38,523.67,562.34,24.74,103.02
00:12.2,503.8,522.37,561.77,26.16,101.73
00:12.2,505.2,521.1,561.16,27.53,100.45
00:12.3,506.59,519.86,560.54,28.82,99.27
00:12.3,507.96,518.66,559.89,30.03,98.11
00:12.4,509.31,517.48,559.22,31.26,97.06
00:12.4,510.65,516.33,558.52,32.66,95.96
00:12.4,511.98,515.21,557.81,34.18,94.96
00:12.5,513.29,514.12,557.08,35.71,93.95
00:12.6,514.59,513.06,556.33,37.18,93.08
00:12.6,515.88,512.03,555.56,38.53,92.17
00:12.7,517.15,511.04,554.77,39.96,91.32
00:12.7,518.41,510.07,553.96,41.57,90.55
00:12.8,519.67,509.13,553.13,43.21,89.82
00:12.8,520.91,508.22,552.28,44.81,89.19
00:12.9,522.15,507.34,551.41,46.42,88.63
00:12.9,523.37,506.5,550.52,48.02,88.2
00:12.9,524.6,505.68,549.61,49.51,87.8
00:13.0,525.81,504.89,548.69,50.98,87.42
00:13.1,527.02,504.13,547.74,52.53,87.04
00:13.1,528.23,503.4,546.78,54.16,86.91
00:13.1,529.44,502.7,545.8,55.78,87.14
00:13.2,530.65,502.01,544.8,57.23,87.52
00:13.2,531.87,501.35,543.77,58.65,87.94
00:13.3,533.1,500.72,542.73,60.3,88.33
00:13.3,534.33,500.11,541.66,62.1,88.77
00:13.4,535.56,499.53,540.56,63.7,89.24
00:13.4,536.81,498.98,539.45,65.05,89.65
00:13.5,538.05,498.46,538.32,66.46,90.14
00:13.6,539.31,497.96,537.17,67.99,90.58
00:13.6,540.57,497.49,536,69.66,91.13
00:13.6,541.84,497.05,534.81,71.47,91.76
00:13.7,543.12,496.63,533.6,73.09,92.44
00:13.8,544.41,496.25,532.37,74.48,93.13
00:13.8,545.7,495.89,531.12,75.92,93.81
00:13.9,547.01,495.56,529.85,77.37,94.57
00:13.9,548.33,495.26,528.57,78.54,95.41
00:14.0,549.66,494.99,527.27,79.43,96.24
00:14.0,551.01,494.73,525.95,80.25,97.19
00:14.1,552.36,494.5,524.61,80.94,98.18
00:14.1,553.73,494.29,523.26,81.48,99.14
00:14.2,555.12,494.09,521.89,82.14,100.16
00:14.2,556.51,493.9,520.5,82.85,101.24
00:14.3,557.93,493.72,519.1,83.43,102.44
00:14.3,559.36,493.55,517.68,83.66,103.63
00:14.3,560.81,493.38,516.24,83.58,104.87
00:14.4,562.27,493.2,514.79,83.06,106.26
