,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:15.1,670.55,365.47,-326.12,118.64,80.06,,,
00:15.1,671.66,366,-327.1,119.83,80.45,,,
00:15.2,672.78,366.56,-328.07,121.87,80.59,,,
00:15.2,673.9,367.14,-329.03,124.51,80.8,,,
00:15.3,675.03,367.75,-329.97,127.06,81.27,,,
00:15.3,676.16,368.4,-330.9,129.36,81.65,,,
00:15.4,677.3,369.09,-331.8,131.26,82.38,,,
00:15.4,678.44,369.82,-332.69,132.57,83.24,,,
00:15.5,679.6,370.59,-333.56,133.73,83.99,,,
00:15.6,680.77,371.39,-334.42,134.83,84.71,,,
00:15.6,681.96,372.21,-335.27,135.96,85.66,,,
00:15.7,683.15,373.06,-336.12,137.2,86.78,,,
00:15.7,684.37,373.94,-336.95,138.33,88.18,,,
00:15.8,685.61,374.86,-337.77,139.33,89.89,,,
00:15.8,686.87,375.82,-338.6,140.25,91.58,,,
00:15.9,688.15,376.8,-339.42,141.28,93.02,,,
00:15.9,689.44,377.81,-340.24,142.46,94.22,,,
00:16.0,690.76,378.85,-341.05,143.89,95.17,,,
00:16.0,692.09,379.91,-341.85,145.37,96.11,,,
00:16.1,693.43,381,-342.63,146.72,97.03,,,
00:16.1,694.78,382.11,-343.4,147.85,98.01,,,
00:16.1,696.15,383.25,-344.16,148.57,99.37,,,
00:16.2,697.54,384.43,-344.9,148.97,100.98,,,
00:16.3,698.96,385.63,-345.65,149.32,102.79,,,
00:16.3,700.4,386.87,-346.39,149.89,104.71,,,
00:16.3,701.86,388.14,-347.12,150.94,106.49,,,
00:16.4,703.36,389.44,-347.85,152.21,108.11,,,
00:16.5,704.87,390.77,-348.57,153.23,109.77,,,
00:16.5,706.4,392.13,-349.29,154.02,111.37,,,
00:16.6,707.96,393.51,-349.99,154.78,112.77,,,
00:16.6,709.53,394.93,-350.69,155.69,114.19,,,
00:16.6,711.13,396.37,-351.37,156.5,115.75,,,
00:16.7,712.75,397.85,-352.04,157.15,117.46,,,
00:16.7,714.39,399.35,-352.7,157.9,119.09,,,
00:16.8,716.06,400.88,-353.35,158.79,120.66,,,
00:16.9,717.74,402.44,-353.99,159.76,122.2,,,
00:16.9,719.45,404.03,-354.61,160.72,123.61,,,
00:16.9,721.17,405.65,-355.21,161.67,125.06,,,
00:17.0,722.92,407.3,-355.8,162.68,126.59,,,
00:17.0,724.69,408.97,-356.37,163.64,128.1,,,
00:17.1,726.48,410.68,-356.91,164.51,129.56,,,
00:17.1,728.28,412.41,-357.44,165.33,130.89,,,
00:17.2,730.11,414.16,-357.95,166.06,132.18,,,
00:17.3,731.95,415.94,-358.44,166.78,133.49,,,
00:17.3,733.82,417.74,-358.92,167.48,134.87,,,
00:17.4,735.7,419.57,-359.37,168.1,136.38,,,
00:17.4,737.6,421.42,-359.8,168.64,137.84,,,
00:17.5,739.53,423.31,-360.21,169.2,139.33,,,
