,sLapDistance,xCarX,xCarY,aYaw,vCar
00:18.4,744.31,-242.49,79.44,-175.82,98.048
00:18.5,745.67,-240.85,79.58,-176.92,99.937
00:18.6,747.06,-239.46,79.68,-177.71,101.457
00:18.6,748.47,-238.33,79.74,-178.27,102.977
00:18.6,749.91,-236.31,79.83,-179.17,105.109
00:18.7,751.37,-235.43,79.86,-179.54,106.062
00:18.7,752.84,-233.66,79.91,179.87,107.875
00:18.8,754.34,-232.16,79.93,179.39,109.154
00:18.8,755.85,-230.94,79.94,178.83,109.581
00:18.9,757.39,-228.79,79.94,178.02,110.93
00:19.0,758.94,-227.86,79.93,177.84,112.713
00:19.0,760.53,-225.95,79.88,177.88,113.655
00:19.1,762.14,-224.34,79.83,178,115.38
00:19.1,763.77,-223.03,79.79,178.02,118.093
00:19.1,765.42,-220.72,79.72,177.98,119.334
00:19.2,767.09,-219.71,79.68,177.93,120.984
00:19.3,768.78,-217.68,79.61,177.85,122.231
00:19.3,770.5,-215.96,79.55,177.76,123.845
00:19.4,772.24,-214.57,79.5,177.73,125.698
00:19.4,774,-212.1,79.41,177.76,126.501
00:19.5,775.79,-211.02,79.37,177.8,127.604
00:19.5,777.6,-208.85,79.28,177.9,129.046
00:19.6,779.43,-207.01,79.22,178,131.572
00:19.6,781.28,-205.53,79.17,178.1,134.016
00:19.6,783.15,-202.91,79.08,178.29,135.811
00:19.7,785.04,-201.77,79.04,178.36,137.642
00:19.7,786.95,-199.48,78.97,178.67,137.765
00:19.8,788.88,-197.55,78.92,178.94,139.189
00:19.8,790.84,-195.98,78.88,179,138.949
00:19.9,792.81,-193.22,78.83,179.12,141.293
00:20.0,794.8,-192.02,78.81,179.17,143.716
00:20.0,796.8,-189.61,78.77,179.33,144.833
00:20.1,798.83,-187.58,78.74,179.49,146.365
00:20.1,800.88,-185.94,78.72,179.6,146.831
00:20.1,802.95,-183.04,78.69,179.75,147.622
00:20.2,805.04,-181.78,78.68,179.81,149.557
00:20.3,807.14,-179.25,78.67,179.9,151.128
00:20.3,809.27,-177.13,78.66,179.97,152.517
00:20.4,811.41,-175.41,78.66,-180,153.957
00:20.4,813.57,-172.38,78.65,-179.88,155.669
00:20.5,815.75,-171.07,78.66,-179.82,156.536
00:20.5,817.95,-168.43,78.66,-179.78,157.11
00:20.5,820.16,-166.21,78.67,-179.75,157.977
00:20.6,822.4,-164.42,78.67,-179.78,158.303
00:20.6,824.65,-161.27,78.68,-179.8,160.534
00:20.7,826.91,-159.9,78.69,-179.8,162.593
00:20.8,829.2,-157.16,78.69,-179.78,164.12
00:20.8,831.5,-154.86,78.7,-179.73,164.852
00:20.8,833.82,-153,78.71,-179.68,165.203
00:20.9,836.15,-149.73,78.73,-179.59,165.884
00:21.0,838.5,-148.32,78.74,-179.56,168.025
00:21.0,840.87,-145.47,78.76,-179.47,168.936
00:21.1,843.25,-143.09,78.78,-179.4,169.409
00:21.1,845.65,-141.17,78.79,-179.35,170.739
00:21.1,848.07,-137.78,78.83,-179.2,172.326
00:21.2,850.5,-136.32,78.85,-179.11,173.458
00:21.2,852.95,-133.39,78.89,-179.01,173.266
00:21.3,855.41,-130.92,78.93,-178.99,175.406
00:21.4,857.88,-128.94,78.96,-178.98,176.661
00:21.4,860.37,-125.45,79.01,-178.98,178.042
00:21.5,862.88,-123.94,79.04,-178.97,179.107
00:21.5,865.4,-120.92,79.09,-178.97,178.753
00:21.5,867.94,-118.38,79.14,-178.96,180.545
00:21.6,870.49,-116.34,79.17,-178.94,182.238
00:21.7,873.05,-112.74,79.24,-178.92,183.346
00:21.7,875.63,-111.19,79.26,-178.91,184.793
00:21.8,878.22,-108.08,79.32,-178.87,185.873
00:21.8,880.83,-105.47,79.37,-178.87,184.237
00:21.9,883.45,-103.37,79.41,-178.86,184.9
00:21.9,886.09,-99.68,79.48,-178.85,187.478
00:22.0,888.73,-98.1,79.51,-178.86,188.861
00:22.0,891.39,-94.91,79.58,-178.88,190.286
00:22.1,894.05,-92.24,79.63,-178.87,191.312
