,sLapDistance,xCarX,xCarY,aYaw,vCar
00:13.9,524.25,-263.26,-4.01,119.2,73.43
00:13.9,525.27,-262.77,-4.91,117.01,73.73
00:14.0,526.3,-262.31,-5.83,114.9,74.22
00:14.0,527.34,-261.89,-6.77,112.92,74.73
00:14.1,528.38,-261.49,-7.74,110.95,75.42
00:14.1,529.43,-261.13,-8.72,108.97,76.09
00:14.2,530.5,-260.79,-9.73,106.95,76.77
00:14.2,531.57,-260.49,-10.76,104.88,77.51
00:14.3,532.65,-260.21,-11.8,102.89,78.34
00:14.3,533.74,-259.97,-12.87,101.07,79.16
00:14.3,534.85,-259.75,-13.95,99.22,79.94
00:14.4,535.96,-259.57,-15.05,97.27,80.71
00:14.5,537.09,-259.42,-16.17,95.42,81.52
00:14.5,538.23,-259.29,-17.3,93.89,82.31
00:14.6,539.38,-259.2,-18.45,92.6,83.21
00:14.6,540.54,-259.15,-19.61,91.46,84.26
00:14.6,541.72,-259.12,-20.79,90.45,85.42
00:14.7,542.92,-259.11,-21.98,89.52,86.64
00:14.7,544.13,-259.13,-23.19,88.7,87.9
00:14.8,545.36,-259.16,-24.42,88.05,89.19
00:14.8,546.61,-259.2,-25.67,87.62,90.51
00:14.9,547.87,-259.26,-26.93,87.4,91.82
00:14.9,549.16,-259.31,-28.22,87.39,93.08
00:15.0,550.46,-259.37,-29.52,87.58,94.32
00:15.0,551.77,-259.42,-30.83,88.05,95.52
00:15.1,553.11,-259.46,-32.17,88.81,96.73
00:15.1,554.46,-259.48,-33.52,89.72,97.9
00:15.2,555.83,-259.48,-34.89,90.67,98.98
00:15.2,557.21,-259.45,-36.27,91.73,99.99
00:15.3,558.61,-259.4,-37.66,92.9,100.98
00:15.3,560.02,-259.33,-39.07,94.07,101.87
00:15.4,561.44,-259.23,-40.49,95.31,102.62
00:15.4,562.86,-259.1,-41.91,96.72,103.24
00:15.5,564.3,-258.93,-43.34,98.18,103.71
00:15.6,565.74,-258.73,-44.77,99.54,104.02
00:15.6,567.19,-258.5,-46.19,100.82,104.2
00:15.7,568.64,-258.23,-47.62,102.1,104.27
00:15.7,570.08,-257.93,-49.03,103.41,104.2
00:15.8,571.53,-257.6,-50.44,104.81,104.01
00:15.8,572.97,-257.24,-51.84,106.29,103.8
00:15.9,574.41,-256.85,-53.22,107.85,103.57
00:15.9,575.85,-256.42,-54.6,109.47,103.34
00:16.0,577.28,-255.97,-55.95,111.13,103.08
00:16.0,578.71,-255.47,-57.29,112.76,102.89
00:16.1,580.14,-254.94,-58.62,114.24,102.91
00:16.1,581.57,-254.37,-59.93,115.6,103.06
00:16.1,583,-253.77,-61.23,117.13,103.33
00:16.2,584.44,-253.13,-62.52,118.81,103.65
00:16.3,585.88,-252.44,-63.79,120.51,104.05
00:16.3,587.33,-251.72,-65.04,122.05,104.52
00:16.3,588.78,-250.95,-66.28,123.4,105.03
00:16.4,590.25,-250.15,-67.5,124.77,105.58
00:16.5,591.72,-249.31,-68.71,126.31,106.15
00:16.5,593.2,-248.45,-69.91,127.92,106.77
00:16.6,594.68,-247.54,-71.09,129.5,107.35
00:16.6,596.18,-246.61,-72.26,131.13,107.93
00:16.6,597.68,-245.64,-73.41,132.95,108.5
00:16.7,599.19,-244.64,-74.53,134.98,109.07
00:16.7,600.71,-243.59,-75.64,137.02,109.67
00:16.8,602.23,-242.51,-76.71,138.73,110.18
00:16.9,603.76,-241.39,-77.76,139.9,110.77
00:16.9,605.31,-240.24,-78.79,140.74,111.39
00:16.9,606.85,-239.06,-79.8,142,111.84
00:17.0,608.41,-237.86,-80.8,143.84,112.47
00:17.0,609.98,-236.64,-81.77,145.64,113.2
00:17.1,611.55,-235.37,-82.71,147.25,113.92
00:17.1,613.14,-234.08,-83.63,148.74,114.6
00:17.2,614.73,-232.75,-84.52,150,115.3
00:17.3,616.33,-231.4,-85.38,151.17,115.96
00:17.3,617.95,-230.02,-86.22,152.58,116.65
00:17.4,619.57,-228.61,-87.03,154.13,117.42
00:17.4,621.2,-227.18,-87.82,155.64,118.28
00:17.5,622.85,-225.71,-88.57,157.34,119.05
00:17.5,624.51,-224.21,-89.29,159.08,119.89
00:17.6,626.18,-222.69,-89.98,160.61,120.74
00:17.6,627.85,-221.14,-90.63,162.25,121.39
00:17.6,629.54,-219.57,-91.26,164.24,122.05
00:17.7,631.24,-217.98,-91.85,166.32,122.78
00:17.7,632.94,-216.36,-92.41,168.08,123.51
00:17.8,634.66,-214.72,-92.92,169.22,124.2
00:17.8,636.39,-213.06,-93.41,169.49,124.97
00:17.9,638.14,-211.38,-93.88,168.58,125.98
00:17.9,639.89,-209.68,-94.32,166.67,126.87
00:18.0,641.66,-207.97,-94.77,165.11,127.63
00:18.0,643.44,-206.25,-95.22,164.47,128.83
00:18.1,645.24,-204.51,-95.68,164.92,130.25
00:18.1,647.06,-202.75,-96.12,166.07,131.47
00:18.2,648.9,-200.97,-96.55,167.45,132.59
00:18.3,650.75,-199.16,-96.95,168.72,133.61
00:18.3,652.61,-197.34,-97.33,169.69,134.51
00:18.4,654.48,-195.5,-97.69,170.83,135.25
00:18.4,656.36,-193.64,-98.02,172.42,136.07
00:18.4,658.26,-191.77,-98.33,174.1,136.93
00:18.5,660.16,-189.88,-98.6,175.35,137.81
00:18.6,662.08,-187.98,-98.83,176.32,138.58
00:18.6,664.01,-186.06,-99.03,177.47,139.38
00:18.6,665.95,-184.13,-99.21,178.57,140.44
00:18.7,667.91,-182.17,-99.36,179.4,141.61
00:18.7,669.88,-180.2,-99.47,107.89,142.79
00:18.8,671.87,-178.21,-99.55,-179.88,144
00:18.8,673.88,-176.2,-99.61,-107.92,145.25
00:18.9,675.91,-174.18,-99.65,179.83,146.45
00:19.0,677.95,-172.14,-99.67,179.61,147.67
00:19.0,680.01,-170.08,-99.7,179.62,148.93
00:19.1,682.09,-168,-99.71,107.91,150.13
00:19.1,684.18,-165.91,-99.71,-179.64,151.25
00:19.1,686.29,-163.8,-99.7,-179.06,152.28
00:19.2,688.41,-161.68,-99.68,-178.38,153.39
00:19.3,690.55,-159.54,-99.64,-177.79,154.63
00:19.3,692.7,-157.38,-99.58,-177.46,155.79
00:19.4,694.87,-155.21,-99.51,-177.3,156.89
00:19.4,697.06,-153.03,-99.42,-177.2,157.98
00:19.5,699.26,-150.83,-99.32,-177.11,159.07
00:19.5,701.48,-148.61,-99.21,-177.01,160.13
00:19.6,703.71,-146.39,-99.1,-176.86,161.15
00:19.6,705.96,-144.14,-98.98,-176.63,162.2
00:19.6,708.22,-141.89,-98.86,-176.35,163.3
00:19.7,710.49,-139.62,-98.72,-176.09,164.31
00:19.7,712.78,-137.33,-98.57,-175.76,165.28
00:19.8,715.08,-135.04,-98.4,-175.42,166.34
00:19.8,717.4,-132.73,-98.23,-175.15,167.28
00:19.9,719.73,-130.4,-98.04,-174.76,168.16
00:20.0,722.07,-128.07,-97.84,-174.24,169.2
00:20.0,724.43,-125.72,-97.62,-173.83,170.24
00:20.1,726.8,-123.36,-97.39,-173.54,171.16
00:20.1,729.18,-120.99,-97.13,-173.15,172.01
00:20.1,731.58,-118.61,-96.87,-172.64,172.99
00:20.2,733.99,-116.22,-96.58,-172.18,173.98
00:20.3,736.41,-113.82,-96.27,-171.86,174.95
00:20.3,738.84,-111.4,-95.94,-171.64,175.78
00:20.4,741.29,-108.98,-95.6,-171.22,176.41
00:20.4,743.74,-106.55,-95.25,-170.41,177.25
