,sLapDistance,xCarX,xCarY,aYaw,vCar
00:10.9,491.97,-269.9,-323.24,138.05,138.48
00:10.9,493.9,-268.6,-324.67,137.58,139.09
00:11.0,495.84,-267.28,-326.08,135.95,139.82
00:11.0,497.79,-265.94,-327.49,133.71,140.47
00:11.1,499.75,-264.6,-328.92,132.08,141.31
00:11.1,501.71,-263.26,-330.36,131.76,142.18
00:11.2,503.69,-261.91,-331.81,132.78,142.57
00:11.2,505.67,-260.55,-333.25,134.47,142.56
00:11.3,507.65,-259.17,-334.66,136.24,142.6
00:11.3,509.63,-257.76,-336.05,137.72,142.78
00:11.4,511.62,-256.31,-337.42,138.99,143.15
00:11.4,513.61,-254.84,-338.76,140.04,143.62
00:11.5,515.61,-253.35,-340.08,140.66,144.21
00:11.5,517.61,-251.82,-341.39,140.99,144.94
00:11.6,519.63,-250.27,-342.69,141.34,145.83
00:11.6,521.67,-248.7,-343.97,142.01,146.88
00:11.6,523.71,-247.09,-345.24,142.92,147.98
00:11.7,525.78,-245.46,-346.5,143.87,148.99
00:11.7,527.85,-243.79,-347.74,144.87,149.97
00:11.8,529.94,-242.1,-348.97,145.99,150.94
00:11.8,532.04,-240.38,-350.17,147.12,151.91
00:11.9,534.16,-238.62,-351.35,148.19,152.84
00:11.9,536.29,-236.84,-352.51,149.15,153.79
00:12.0,538.43,-235.02,-353.65,149.78,154.75
00:12.0,540.58,-233.18,-354.77,149.98,154.8
00:12.1,542.72,-231.34,-355.86,149.98,153.45
00:12.2,544.84,-229.52,-356.94,150.1,151.31
00:12.2,546.92,-227.72,-357.98,150.32,148.66
00:12.3,548.97,-225.94,-359,150.56,145.85
00:12.3,550.98,-224.2,-359.99,150.83,143.22
00:12.4,552.95,-222.48,-360.95,151.16,140.82
00:12.4,554.89,-220.78,-361.89,151.56,138.62
00:12.4,556.8,-219.1,-362.8,152.11,136.68
00:12.5,558.69,-217.43,-363.68,152.74,134.79
00:12.6,560.55,-215.78,-364.54,153.38,132.98
00:12.6,562.38,-214.14,-365.36,154.04,131.33
00:12.7,564.19,-212.52,-366.16,154.78,129.65
00:12.7,565.98,-210.9,-366.93,155.61,127.64
00:12.8,567.74,-209.31,-367.66,156.59,125.28
00:12.8,569.46,-207.73,-368.36,157.68,122.78
00:12.9,571.15,-206.18,-369.03,158.6,120.4
00:12.9,572.8,-204.65,-369.66,159.28,118.27
00:12.9,574.43,-203.13,-370.25,159.96,116.23
00:13.0,576.03,-201.63,-370.81,160.77,114.24
00:13.1,577.61,-200.15,-371.34,161.65,112.29
00:13.1,579.15,-198.69,-371.83,162.56,110.49
00:13.1,580.68,-197.23,-372.29,163.51,108.94
00:13.2,582.18,-195.79,-372.72,164.54,107.5
00:13.2,583.66,-194.37,-373.12,165.63,105.96
00:13.3,585.12,-192.95,-373.48,166.79,104.28
00:13.3,586.56,-191.55,-373.81,168.05,102.51
00:13.4,587.97,-190.18,-374.11,169.42,100.67
00:13.4,589.35,-188.81,-374.37,170.72,98.99
00:13.5,590.72,-187.47,-374.6,171.88,97.46
00:13.6,592.06,-186.14,-374.8,173.22,96.1
00:13.6,593.39,-184.82,-374.96,174.84,94.82
00:13.6,594.7,-183.52,-375.08,176.46,93.55
00:13.7,595.99,-182.24,-375.17,177.95,92.14
00:13.8,597.25,-180.97,-375.22,107.49,90.61
00:13.8,598.5,-179.72,-375.23,-178.94,89.09
00:13.9,599.73,-178.49,-375.21,-177.48,87.61
00:13.9,600.94,-177.29,-375.16,-176.04,86.22
00:14.0,602.12,-176.1,-375.08,-174.45,84.88
00:14.0,603.29,-174.94,-374.97,-172.74,83.57
00:14.1,604.45,-173.8,-374.82,-170.99,82.35
00:14.1,605.58,-172.67,-374.64,-169.37,81.18
00:14.2,606.7,-171.58,-374.43,-167.81,80.02
00:14.2,607.81,-170.5,-374.19,-166.1,78.91
00:14.3,608.9,-169.44,-373.92,-164.26,77.81
00:14.3,609.97,-168.41,-373.62,-162.32,76.76
00:14.3,611.03,-167.41,-373.29,-160.36,75.84
