,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:10.6,466.13,5.78,28.01,-162.39,195.37,,,
00:10.6,468.85,8.36,28.81,-162.07,195.9,,,
00:10.7,471.57,10.95,29.62,-161.76,196.41,,,
00:10.7,474.3,13.54,30.46,-161.43,196.92,,,
00:10.7,477.04,16.13,31.31,-160.99,197.43,,,
00:10.8,479.79,18.72,32.18,-160.57,197.98,,,
00:10.9,482.54,21.31,33.07,-160.22,198.47,,,
00:10.9,485.3,23.9,33.98,-159.89,198.96,,,
00:11.0,488.07,26.5,34.91,-159.59,199.48,,,
00:11.0,490.84,29.09,35.86,-159.37,199.94,,,
00:11.1,493.62,31.69,36.81,-159.08,200.37,,,
00:11.1,496.41,34.29,37.79,-158.65,200.86,,,
00:11.2,499.2,36.89,38.78,-158.19,201.36,,,
00:11.2,502,39.49,39.79,-157.67,201.87,,,
00:11.3,504.81,42.09,40.82,-157.28,202.4,,,
00:11.3,507.62,44.69,41.87,-157.1,202.83,,,
00:11.4,510.44,47.28,42.94,-156.83,203.32,,,
00:11.4,513.27,49.88,44.03,-156.48,203.78,,,
00:11.5,516.1,52.48,45.14,-156.11,204.31,,,
00:11.5,518.94,55.08,46.26,-155.87,204.76,,,
00:11.6,521.79,57.68,47.4,-155.58,205.14,,,
00:11.6,524.64,60.27,48.55,-155.09,205.51,,,
00:11.6,527.5,62.87,49.72,-154.5,206.14,,,
00:11.7,530.36,65.47,50.92,-154.34,206.63,,,
00:11.7,533.24,68.07,52.12,-154.6,207.08,,,
00:11.8,536.11,70.67,53.34,-155.05,207.49,,,
00:11.8,539,73.28,54.55,-155.57,208.02,,,
00:11.9,541.89,75.9,55.75,-156.02,208.46,,,
00:11.9,544.79,78.53,56.94,-156.48,208.89,,,
00:12.0,547.69,81.18,58.11,-157.06,209.34,,,
00:12.0,550.6,83.84,59.27,-157.54,209.79,,,
00:12.1,553.52,86.51,60.41,-158.03,210.14,,,
00:12.2,556.44,89.2,61.53,-158.74,210.61,,,
00:12.2,559.37,91.91,62.63,-159.28,211.06,,,
00:12.3,562.3,94.63,63.71,-159.66,211.42,,,
00:12.3,565.24,97.36,64.77,-160.23,211.85,,,
00:12.4,568.19,100.11,65.8,-160.72,212.31,,,
00:12.4,571.14,102.88,66.81,-161.09,212.7,,,
00:12.4,574.1,105.66,67.8,-161.47,213.15,,,
00:12.5,577.06,108.45,68.77,-161.78,213.55,,,
00:12.6,580.03,111.25,69.72,-162.19,213.95,,,
00:12.6,583,114.07,70.65,-162.65,214.34,,,
00:12.7,585.98,116.9,71.56,-163.3,214.71,,,
00:12.7,588.97,119.74,72.45,-164.02,215.18,,,
00:12.8,591.96,122.59,73.32,-164.45,215.56,,,
00:12.8,594.95,125.46,74.16,-164.84,215.92,,,
00:12.9,597.96,128.34,74.98,-165.23,216.37,,,
00:12.9,600.96,131.24,75.77,-165.45,216.76,,,
00:12.9,603.98,134.14,76.55,-165.7,217.15,,,
