,sLapDistance,xCarX,xCarY,aYaw,vCar
00:12.4,676.1,-292.04,-335.9,-96.45,119.27
00:12.4,677.75,-291.89,-334.25,-97.87,118.66
00:12.4,679.4,-291.7,-332.62,-99.25,118.05
00:12.5,681.03,-291.47,-331,-100.57,117.45
00:12.6,682.66,-291.21,-329.39,-101.96,116.84
00:12.6,684.27,-290.9,-327.81,-103.45,116.23
00:12.7,685.88,-290.56,-326.23,-104.96,115.62
00:12.7,687.49,-290.17,-324.68,-106.43,115
00:12.8,689.08,-289.75,-323.14,-107.79,114.39
00:12.8,690.66,-289.3,-321.63,-109.06,113.78
00:12.9,692.24,-288.8,-320.13,-110.44,113.15
00:12.9,693.8,-288.28,-318.65,-111.99,112.51
00:12.9,695.36,-287.73,-317.2,-113.53,111.87
00:13.0,696.91,-287.14,-315.76,-114.99,111.22
00:13.1,698.45,-286.52,-314.36,-116.46,110.56
00:13.1,699.98,-285.87,-312.97,-117.97,109.91
00:13.1,701.5,-285.18,-311.61,-119.42,109.28
00:13.2,703.01,-284.46,-310.28,-120.8,108.63
00:13.2,704.52,-283.72,-308.98,-122.19,107.99
00:13.3,706.01,-282.94,-307.7,-123.64,107.36
00:13.3,707.5,-282.14,-306.45,-125.12,106.77
00:13.4,708.98,-281.3,-305.22,-126.65,106.45
00:13.4,710.45,-280.44,-304.03,-128.16,106.27
00:13.5,711.93,-279.55,-302.85,-129.56,106.16
00:13.6,713.4,-278.62,-301.71,-130.89,106.08
00:13.6,714.88,-277.67,-300.59,-132.27,106.02
00:13.6,716.35,-276.69,-299.49,-133.68,105.97
00:13.7,717.82,-275.68,-298.42,-135.1,105.93
00:13.8,719.29,-274.64,-297.37,-136.56,105.87
00:13.8,720.76,-273.58,-296.36,-138.1,105.82
00:13.9,722.23,-272.5,-295.37,-139.63,105.79
00:13.9,723.7,-271.38,-294.41,-141.12,105.73
00:14.0,725.17,-270.25,-293.48,-142.59,105.68
00:14.0,726.63,-269.09,-292.58,-144.02,105.64
00:14.1,728.1,-267.91,-291.7,-145.42,105.62
00:14.1,729.56,-266.71,-290.86,-146.87,105.61
00:14.2,731.03,-265.49,-290.05,-148.4,105.6
00:14.2,732.5,-264.25,-289.27,-149.95,105.58
00:14.3,733.96,-262.99,-288.52,-151.43,105.58
00:14.3,735.43,-261.71,-287.8,-152.8,105.6
00:14.3,736.9,-260.42,-287.11,-154.12,105.62
00:14.4,738.36,-259.1,-286.46,-155.5,105.65
00:14.5,739.83,-257.77,-285.84,-156.99,105.69
00:14.5,741.3,-256.43,-285.25,-158.54,105.72
00:14.6,742.77,-255.07,-284.7,-159.97,105.77
00:14.6,744.23,-253.69,-284.18,-161.26,105.8
00:14.6,745.7,-252.31,-283.7,-162.55,105.75
00:14.7,747.17,-250.91,-283.25,-163.93,105.29
00:14.7,748.62,-249.51,-282.83,-165.49,104.68
00:14.8,750.07,-248.11,-282.45,-167.19,104.06
00:14.8,751.51,-246.71,-282.11,-168.85,103.42
00:14.9,752.94,-245.31,-281.81,-170.44,102.78
00:14.9,754.37,-243.92,-281.55,-171.96,102.11
00:15.0,755.78,-242.52,-281.32,-173.45,101.43
00:15.0,757.18,-241.13,-281.13,-174.93,100.74
00:15.1,758.57,-239.74,-280.98,-176.42,100.06
00:15.1,759.96,-238.36,-280.87,-177.86,99.37
00:15.2,761.33,-236.99,-280.79,-179.27,98.68
00:15.2,762.7,-235.63,-280.75,179.3,98
00:15.3,764.05,-234.27,-280.75,177.94,97.34
00:15.3,765.4,-232.92,-280.78,176.61,96.7
00:15.4,766.74,-231.59,-280.84,175.16,96.07
00:15.4,768.07,-230.26,-280.94,173.6,95.43
00:15.5,769.39,-228.94,-281.07,172.03,94.79
00:15.6,770.7,-227.64,-281.24,170.48,94.15
00:15.6,772,-226.36,-281.44,168.93,93.51
00:15.7,773.3,-225.08,-281.68,167.39,92.88
00:15.7,774.58,-223.83,-281.95,165.85,92.26
00:15.8,775.86,-222.59,-282.25,164.25,91.64
00:15.8,777.12,-221.36,-282.58,162.59,91.01
00:15.9,778.38,-220.16,-282.95,160.92,90.37
00:15.9,779.63,-218.97,-283.35,159.29,89.73
00:16.0,780.88,-217.81,-283.78,157.66,89.09
00:16.0,782.11,-216.67,-284.24,156.02,88.45
00:16.1,783.33,-215.55,-284.73,154.37,87.83
00:16.1,784.55,-214.45,-285.26,152.69,87.21
00:16.1,785.76,-213.38,-285.81,151.01,86.6
00:16.2,786.95,-212.33,-286.39,149.35,85.99
00:16.3,788.14,-211.3,-287,147.71,85.39
00:16.3,789.33,-210.3,-287.63,146.06,84.8
00:16.3,790.5,-209.33,-288.28,144.35,84.21
00:16.4,791.66,-208.38,-288.96,142.62,83.62
00:16.5,792.82,-207.46,-289.65,140.91,82.99
00:16.5,793.97,-206.57,-290.37,139.21,82.29
00:16.6,795.11,-205.7,-291.11,137.45,81.56
00:16.6,796.23,-204.87,-291.87,135.7,80.86
00:16.6,797.35,-204.07,-292.65,134.08,80.2
00:16.7,798.46,-203.29,-293.44,132.53,79.58
00:16.7,799.56,-202.55,-294.25,130.87,78.97
00:16.8,800.65,-201.84,-295.08,129.04,78.37
00:16.9,801.74,-201.17,-295.93,127.11,77.78
00:16.9,802.82,-200.52,-296.79,125.3,77.2
00:16.9,803.89,-199.92,-297.67,123.53,76.61
00:17.0,804.95,-199.34,-298.56,121.62,76.05
00:17.0,806,-198.81,-299.46,119.59,75.49
00:17.1,807.05,-198.3,-300.37,117.54,74.95
00:17.1,808.09,-197.84,-301.3,115.5,74.4
00:17.2,809.12,-197.41,-302.23,113.43,73.83
00:17.3,810.14,-197.01,-303.17,111.38,73.39
00:17.3,811.16,-196.65,-304.12,109.32,73.41
00:17.4,812.18,-196.33,-305.09,107.38,73.62
00:17.4,813.21,-196.04,-306.07,105.57,73.98
00:17.5,814.24,-195.78,-307.07,103.75,74.46
00:17.5,815.28,-195.55,-308.08,101.88,75.06
00:17.6,816.33,-195.35,-309.1,99.94,75.7
00:17.6,817.39,-195.19,-310.15,97.93,76.38
00:17.6,818.46,-195.06,-311.2,95.88,77.06
00:17.7,819.53,-194.96,-312.27,93.86,77.74
00:17.7,820.62,-194.9,-313.35,91.86,78.43
00:17.8,821.72,-194.87,-314.44,89.9,79.16
00:17.8,822.82,-194.88,-315.55,88.03,79.98
00:17.9,823.94,-194.92,-316.66,86.31,80.88
00:17.9,825.07,-195,-317.79,84.77,81.85
00:18.0,826.21,-195.11,-318.92,83.35,82.91
00:18.0,827.37,-195.24,-320.07,82.04,84.05
00:18.1,828.55,-195.41,-321.23,80.86,85.25
00:18.1,829.74,-195.6,-322.41,79.81,86.48
00:18.2,830.95,-195.81,-323.6,78.89,87.71
00:18.3,832.18,-196.05,-324.8,78.07,88.95
00:18.3,833.42,-196.31,-326.01,77.38,90.19
00:18.4,834.68,-196.58,-327.24,76.9,91.43
