,sLapDistance,xCarX,xCarY,aYaw,vCar
00:12.5,508.37,344.09,361.14,-117.89,203.91
00:12.6,511.19,345.46,363.61,-117.57,202.26
00:12.6,513.99,346.78,366.07,-116.96,200.51
00:12.7,516.77,348.07,368.53,-116.02,198.72
00:12.7,519.51,349.3,370.98,-115.09,197.02
00:12.8,522.24,350.49,373.44,-114.44,195.51
00:12.8,524.94,351.65,375.88,-113.77,194.22
00:12.9,527.63,352.78,378.32,-112.74,193.03
00:12.9,530.3,353.89,380.75,-111.23,191.74
00:12.9,532.95,354.95,383.19,-109.31,190.41
00:13.0,535.59,355.97,385.62,-107.52,189.26
00:13.1,538.2,356.92,388.06,-106.18,188.14
00:13.1,540.81,357.82,390.5,-105.46,187.11
00:13.1,543.4,358.66,392.96,-105.44,186.17
00:13.2,545.98,359.45,395.41,-105.8,185.32
00:13.2,548.55,360.2,397.87,-106.05,184.47
00:13.3,551.1,360.94,400.31,-106.08,183.5
00:13.3,553.65,361.67,402.75,-105.83,182.39
00:13.4,556.17,362.36,405.18,-105.18,181.31
00:13.4,558.68,363.04,407.6,-104.19,180.24
00:13.5,561.18,363.68,410.01,-103.22,179.14
00:13.6,563.66,364.29,412.41,-102.61,178.02
00:13.6,566.12,364.87,414.81,-102.29,176.83
00:13.6,568.57,365.43,417.19,-101.93,175.52
00:13.7,570.99,365.97,419.56,-101.64,174.05
00:13.8,573.4,366.49,421.91,-101.52,172.5
00:13.8,575.78,366.99,424.24,-101.72,170.88
00:13.9,578.14,367.48,426.55,-101.98,169.22
00:13.9,580.48,367.97,428.83,-102.08,167.24
00:14.0,582.79,368.45,431.09,-102.06,164.82
00:14.0,585.05,368.93,433.31,-102.01,161.95
00:14.1,587.28,369.39,435.49,-101.97,158.83
00:14.1,589.46,369.85,437.62,-102,155.55
00:14.2,591.6,370.3,439.71,-102.1,152.54
00:14.2,593.7,370.74,441.76,-102.19,149.63
00:14.3,595.76,371.17,443.77,-102.31,146.7
00:14.3,597.77,371.6,445.74,-102.41,143.53
00:14.3,599.75,372.02,447.67,-102.54,140.18
00:14.4,601.67,372.44,449.54,-102.82,136.94
00:14.5,603.55,372.86,451.38,-103.01,133.91
00:14.5,605.39,373.27,453.17,-103.39,131.15
00:14.6,607.2,373.69,454.92,-103.91,128.39
00:14.6,608.96,374.1,456.64,-104.38,125.62
00:14.6,610.69,374.53,458.31,-105.19,123.15
00:14.7,612.38,374.96,459.95,-105.94,120.41
00:14.7,614.03,375.4,461.54,-106.62,117.8
00:14.8,615.65,375.86,463.09,-107.59,115.46
00:14.8,617.24,376.33,464.61,-108.44,113.04
00:14.9,618.79,376.81,466.09,-109.29,110.64
