,sLapDistance,xCarX,xCarY,aYaw,vCar
00:11.4,365.3,-57.04,285.36,-147.42,76.86
00:11.4,366.37,-56.13,285.91,-149.1,77.23
00:11.5,367.45,-55.2,286.45,-150.78,77.4
00:11.5,368.52,-54.25,286.95,-152.69,77.69
00:11.6,369.6,-53.28,287.43,-154.91,77.87
00:11.6,370.69,-52.3,287.89,-157.07,78.1
00:11.6,371.78,-51.3,288.31,-158.8,78.33
00:11.7,372.86,-50.28,288.7,-160.19,78.63
00:11.7,373.96,-49.25,289.07,-161.76,79.41
00:11.8,375.07,-48.19,289.42,-163.91,80.26
00:11.8,376.19,-47.12,289.74,-166.29,81.04
00:11.9,377.32,-46.02,290.02,-168.37,82.08
00:11.9,378.47,-44.9,290.27,-170.03,83.25
00:12.0,379.63,-43.76,290.5,-171.38,84.51
00:12.0,380.82,-42.59,290.7,-172.44,86.03
00:12.1,382.03,-41.4,290.88,-173.23,87.63
00:12.2,383.26,-40.18,291.03,-173.81,89.41
00:12.2,384.51,-38.94,291.17,-174.37,91.26
00:12.3,385.79,-37.66,291.29,-175.21,93.02
00:12.3,387.09,-36.36,291.4,-176.11,94.62
00:12.4,388.42,-35.04,291.49,-176.85,96.26
00:12.4,389.77,-33.69,291.57,-177.57,98.02
00:12.4,391.14,-32.32,291.64,-178.47,99.88
00:12.5,392.54,-30.92,291.68,-179.45,101.85
00:12.6,393.97,-29.49,291.7,107.73,103.81
00:12.6,395.43,-28.04,291.7,179.12,105.7
00:12.7,396.91,-26.56,291.69,178.6,107.55
00:12.7,398.41,-25.05,291.66,178.1,109.36
00:12.8,399.94,-23.52,291.62,177.64,111.11
00:12.8,401.5,-21.97,291.56,177.24,112.8
00:12.9,403.08,-20.39,291.5,176.92,114.54
00:12.9,404.67,-18.8,291.42,176.78,114.98
00:12.9,406.26,-17.21,291.34,176.91,113.87
00:13.0,407.83,-15.64,291.26,177.26,112.05
00:13.1,409.37,-14.1,291.2,177.81,110.01
00:13.1,410.88,-12.59,291.14,178.42,107.87
00:13.1,412.37,-11.1,291.1,179.3,105.87
00:13.2,413.83,-9.65,291.08,-179.53,103.86
00:13.2,415.25,-8.22,291.08,-178.58,101.61
00:13.3,416.65,-6.82,291.11,-177.44,99.55
00:13.3,418.02,-5.46,291.16,-176.16,97.53
00:13.4,419.36,-4.12,291.23,-175.26,95.57
00:13.4,420.67,-2.81,291.34,-174.35,93.71
00:13.5,421.96,-1.52,291.46,-173.06,91.87
00:13.6,423.22,-0.27,291.61,-171.59,90.08
00:13.6,424.46,0.96,291.79,-170.22,88.3
00:13.6,425.68,2.15,291.99,-168.88,86.65
00:13.7,426.87,3.32,292.23,-167.57,85.04
00:13.8,428.04,4.47,292.48,-166.29,83.5
00:13.8,429.19,5.58,292.76,-164.83,81.96
00:13.9,430.32,6.67,293.06,-163.13,80.43
00:13.9,431.42,7.73,293.38,-161.33,78.97
00:14.0,432.51,8.75,293.73,-159.61,77.59
00:14.0,433.58,9.75,294.11,-158.04,76.25
00:14.1,434.63,10.73,294.51,-156.45,75
00:14.1,435.67,11.67,294.94,-154.72,73.89
00:14.2,436.69,12.58,295.39,-152.9,72.98
00:14.2,437.7,13.47,295.86,-151.07,72.25
00:14.3,438.7,14.34,296.36,-149.18,71.65
00:14.3,439.69,15.18,296.89,-147.28,71.08
00:14.3,440.67,15.99,297.43,-145.36,70.5
