,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:17.0,685.24,-157.35,-307.9,-66.12,110.02,,,
00:17.1,686.76,-157.96,-306.5,-67.28,109.29,,,
00:17.1,688.28,-158.54,-305.11,-68.62,108.54,,,
00:17.2,689.78,-159.08,-303.71,-70.13,107.78,,,
00:17.3,691.27,-159.59,-302.31,-71.72,107.03,,,
00:17.3,692.75,-160.07,-300.9,-73.37,106.3,,,
00:17.4,694.22,-160.5,-299.5,-75.09,105.58,,,
00:17.4,695.68,-160.9,-298.09,-76.81,104.86,,,
00:17.5,697.13,-161.27,-296.69,-78.49,104.14,,,
00:17.5,698.57,-161.59,-295.29,-80.12,103.41,,,
00:17.6,700,-161.87,-293.88,-81.7,102.68,,,
00:17.6,701.42,-162.12,-292.49,-83.19,101.94,,,
00:17.6,702.83,-162.32,-291.09,-84.57,101.2,,,
00:17.7,704.23,-162.49,-289.7,-85.85,100.49,,,
00:17.7,705.62,-162.63,-288.32,-87.07,99.79,,,
00:17.8,707,-162.72,-286.94,-88.37,99.09,,,
00:17.8,708.37,-162.78,-285.57,-89.76,98.38,,,
00:17.9,709.73,-162.81,-284.21,-91.13,97.69,,,
00:17.9,711.09,-162.8,-282.86,-92.47,97.03,,,
00:18.0,712.43,-162.75,-281.52,-93.86,96.45,,,
00:18.0,713.76,-162.67,-280.19,-95.29,95.89,,,
00:18.1,715.09,-162.56,-278.86,-96.76,95.27,,,
00:18.1,716.41,-162.41,-277.56,-98.4,94.63,,,
00:18.2,717.72,-162.23,-276.26,-100.19,93.99,,,
00:18.3,719.02,-162.01,-274.98,-101.92,93.39,,,
00:18.3,720.31,-161.76,-273.71,-103.44,92.76,,,
00:18.4,721.59,-161.47,-272.46,-104.95,92.1,,,
00:18.4,722.87,-161.15,-271.23,-106.57,91.48,,,
00:18.4,724.14,-160.8,-270.02,-108.22,90.92,,,
00:18.5,725.4,-160.41,-268.82,-109.88,90.41,,,
00:18.6,726.65,-159.99,-267.64,-111.58,89.9,,,
00:18.6,727.89,-159.53,-266.49,-113.27,89.38,,,
00:18.6,729.13,-159.04,-265.35,-115.04,88.83,,,
00:18.7,730.36,-158.51,-264.24,-116.96,88.3,,,
00:18.7,731.59,-157.95,-263.16,-118.87,87.78,,,
00:18.8,732.81,-157.36,-262.1,-120.76,87.24,,,
00:18.8,734.02,-156.73,-261.07,-122.76,86.7,,,
00:18.9,735.22,-156.07,-260.06,-124.85,86.17,,,
00:19.0,736.42,-155.38,-259.09,-126.95,85.66,,,
00:19.0,737.61,-154.65,-258.15,-129.07,85.42,,,
00:19.1,738.79,-153.9,-257.24,-131.24,85.41,,,
00:19.1,739.99,-153.1,-256.36,-133.37,85.63,,,
00:19.1,741.18,-152.27,-255.5,-135.51,86.17,,,
00:19.2,742.39,-151.4,-254.67,-137.68,86.95,,,
00:19.3,743.6,-150.49,-253.87,-139.84,87.76,,,
00:19.3,744.83,-149.55,-253.09,-142.08,88.55,,,
00:19.4,746.07,-148.56,-252.35,-144.47,89.35,,,
00:19.4,747.32,-147.54,-251.63,-146.98,90.15,,,
00:19.5,748.58,-146.49,-250.95,-149.45,90.97,,,
00:19.5,749.85,-145.4,-250.3,-151.6,91.79,,,
00:19.6,751.13,-144.27,-249.68,-153.68,92.61,,,
00:19.6,752.42,-143.12,-249.1,-155.92,93.42,,,
00:19.6,753.73,-141.94,-248.55,-158.02,94.43,,,
00:19.7,755.05,-140.73,-248.03,-159.69,95.58,,,
00:19.7,756.38,-139.48,-247.54,-161.17,96.86,,,
00:19.8,757.74,-138.21,-247.08,-162.6,98.3,,,
00:19.8,759.12,-136.9,-246.65,-164,99.82,,,
00:19.9,760.51,-135.57,-246.25,-165.38,101.26,,,
00:20.0,761.93,-134.2,-245.87,-166.8,102.57,,,
00:20.0,763.36,-132.81,-245.52,-168.23,103.82,,,
00:20.1,764.81,-131.4,-245.19,-169.54,105.14,,,
00:20.1,766.28,-129.96,-244.89,-170.61,106.59,,,
00:20.1,767.77,-128.5,-244.62,-171.44,108.13,,,
00:20.2,769.28,-127,-244.37,-172.06,109.71,,,
00:20.3,770.82,-125.49,-244.14,-172.51,111.28,,,
00:20.3,772.37,-123.95,-243.92,-172.9,112.87,,,
00:20.4,773.95,-122.38,-243.72,-173.44,114.45,,,
00:20.4,775.55,-120.79,-243.53,-174.2,116,,,
00:20.5,777.17,-119.18,-243.35,-175.08,117.52,,,
00:20.5,778.82,-117.55,-243.2,-176.01,119.04,,,
00:20.5,780.48,-115.89,-243.06,-176.89,120.57,,,
00:20.6,782.16,-114.21,-242.94,-177.64,122.11,,,
00:20.6,783.87,-112.5,-242.83,-178.23,123.62,,,
00:20.7,785.59,-110.78,-242.74,-178.69,124.98,,,
00:20.8,787.34,-109.04,-242.67,-179.09,126.34,,,
00:20.8,789.1,-107.27,-242.61,-179.45,127.86,,,
00:20.8,790.89,-105.49,-242.56,-179.73,129.54,,,
00:20.9,792.7,-103.67,-242.53,-179.92,131.31,,,
00:21.0,794.54,-101.84,-242.52,179.96,133.02,,,
00:21.0,796.4,-99.98,-242.51,179.79,134.48,,,
00:21.1,798.27,-98.1,-242.51,179.55,135.84,,,
00:21.1,800.17,-96.21,-242.51,179.3,137.29,,,
00:21.1,802.09,-94.29,-242.53,179.05,138.8,,,
00:21.2,804.02,-92.35,-242.55,178.83,140.39,,,
00:21.2,805.99,-90.39,-242.57,178.8,142.05,,,
00:21.3,807.97,-88.41,-242.6,179.03,143.59,,,
00:21.4,809.97,-86.4,-242.63,179.45,145.01,,,
00:21.4,812,-84.38,-242.64,-35.93,146.48,,,
00:21.5,814.04,-82.33,-242.65,-179.29,147.85,,,
00:21.5,816.1,-80.27,-242.64,-178.55,149.14,,,
00:21.5,818.18,-78.19,-242.61,-177.73,150.47,,,
00:21.6,820.28,-76.09,-242.56,-176.94,151.79,,,
00:21.7,822.4,-73.98,-242.49,-176.15,153,,,
00:21.7,824.53,-71.85,-242.39,-175.36,154.35,,,
00:21.8,826.68,-69.7,-242.27,-174.77,155.71,,,
00:21.8,828.86,-67.53,-242.12,-174.27,156.87,,,
00:21.9,831.04,-65.35,-241.94,-173.57,158.05,,,
