,sLapDistance,xCarX,xCarY,aYaw,vCar
00:14.1,1675.8,-126.08,456.09,-53.49,75.28
00:14.1,1676.83,-126.7,456.91,-51.9,73.86
00:14.2,1677.85,-127.33,457.71,-50.25,72.61
00:14.2,1678.85,-127.98,458.47,-48.53,71.52
00:14.3,1679.84,-128.65,459.2,-46.73,70.56
00:14.3,1680.82,-129.33,459.9,-44.81,69.67
00:14.3,1681.78,-130.02,460.56,-42.75,68.85
00:14.4,1682.73,-130.73,461.19,-40.61,68.01
00:14.5,1683.67,-131.46,461.78,-38.37,67.06
00:14.5,1684.6,-132.2,462.34,-35.94,66.08
00:14.6,1685.52,-132.95,462.85,-33.33,65.04
00:14.6,1686.42,-133.71,463.32,-30.69,64.02
00:14.6,1687.31,-134.48,463.75,-28.33,63.11
00:14.7,1688.18,-135.26,464.15,-26.24,62.22
00:14.7,1689.04,-136.04,464.5,-24.14,61.33
00:14.8,1689.89,-136.82,464.82,-21.85,60.59
00:14.8,1690.73,-137.61,465.1,-19.5,59.89
00:14.9,1691.56,-138.4,465.35,-17.14,59.23
00:14.9,1692.38,-139.19,465.57,-14.76,58.62
00:15.0,1693.2,-139.98,465.75,-12.36,58.03
00:15.0,1694,-140.77,465.89,-9.96,57.47
00:15.1,1694.8,-141.56,466,-7.54,56.92
00:15.1,1695.59,-142.34,466.06,-5.07,56.4
00:15.2,1696.38,-143.12,466.1,-2.55,55.91
00:15.2,1697.16,-143.89,466.1,0.02,55.61
00:15.3,1697.93,-144.66,466.06,2.58,55.55
00:15.3,1698.71,-145.43,465.99,5.05,55.63
00:15.4,1699.49,-146.2,465.89,7.47,55.77
00:15.4,1700.27,-146.96,465.75,9.92,55.97
00:15.5,1701.06,-147.72,465.58,12.43,56.27
00:15.6,1701.85,-148.48,465.38,14.99,56.67
00:15.6,1702.64,-149.23,465.14,17.59,57.21
00:15.7,1703.45,-149.98,464.87,20.2,57.86
00:15.7,1704.26,-150.73,464.56,22.82,58.6
00:15.8,1705.08,-151.48,464.22,25.49,59.39
00:15.8,1705.92,-152.22,463.84,28.18,60.17
00:15.9,1706.76,-152.95,463.43,30.88,60.97
00:15.9,1707.62,-153.67,462.98,33.56,61.8
00:16.0,1708.48,-154.39,462.5,36.14,62.62
00:16.0,1709.36,-155.1,461.98,38.56,63.44
00:16.1,1710.24,-155.8,461.44,40.8,64.25
00:16.1,1711.14,-156.48,460.86,42.95,65.07
00:16.1,1712.05,-157.16,460.25,45.02,65.92
00:16.2,1712.97,-157.82,459.6,47.04,66.82
00:16.3,1713.91,-158.46,458.93,49.04,67.72
00:16.3,1714.86,-159.09,458.22,51.08,68.63
00:16.3,1715.81,-159.7,457.48,53.12,69.51
00:16.4,1716.79,-160.3,456.71,55.1,70.39
00:16.5,1717.77,-160.87,455.92,56.89,71.25
00:16.5,1718.76,-161.43,455.09,58.48,71.92
00:16.6,1719.76,-161.97,454.25,59.96,72.52
00:16.6,1720.77,-162.5,453.38,61.65,73.29
00:16.6,1721.79,-163.01,452.49,63.51,74.12
00:16.7,1722.83,-163.5,451.58,65.26,74.95
00:16.7,1723.87,-163.97,450.65,66.85,75.88
00:16.8,1724.93,-164.42,449.69,68.34,76.83
00:16.9,1726.01,-164.84,448.7,69.67,77.87
