,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:13.9,386.7,-30.91,287.91,-107.67,89.78,,,
00:14.0,387.95,-29.66,287.94,179.4,90.42,,,
00:14.0,389.21,-28.4,287.95,179.08,90.43,,,
00:14.1,390.46,-27.15,287.94,178.99,90.34,,,
00:14.1,391.72,-25.89,287.92,179,90.26,,,
00:14.2,392.97,-24.64,287.9,179.08,90.17,,,
00:14.2,394.22,-23.39,287.89,179.24,90.1,,,
00:14.3,395.47,-22.14,287.87,179.49,90.02,,,
00:14.3,396.72,-20.89,287.87,107.86,89.93,,,
00:14.3,397.97,-19.64,287.87,-179.66,89.84,,,
00:14.4,399.22,-18.39,287.88,-179.09,89.74,,,
00:14.5,400.46,-17.15,287.91,-178.41,89.64,,,
00:14.5,401.71,-15.9,287.96,-177.58,89.54,,,
00:14.6,402.95,-14.66,288.02,-176.64,89.43,,,
00:14.6,404.19,-13.42,288.1,-175.64,89.32,,,
00:14.6,405.43,-12.19,288.2,-174.59,89.15,,,
00:14.7,406.67,-10.96,288.32,-173.38,88.68,,,
00:14.7,407.9,-9.74,288.47,-171.95,87.96,,,
00:14.8,409.11,-8.54,288.65,-170.48,87.16,,,
00:14.8,410.32,-7.35,288.85,-169.06,86.34,,,
00:14.9,411.51,-6.18,289.07,-167.56,85.54,,,
00:14.9,412.69,-5.02,289.32,-165.98,84.84,,,
00:15.0,413.86,-3.88,289.59,-164.58,84.13,,,
00:15.0,415.03,-2.75,289.88,-163.39,83.34,,,
00:15.1,416.18,-1.64,290.2,-162.17,82.5,,,
00:15.1,417.32,-0.56,290.54,-160.86,81.72,,,
00:15.2,418.45,0.51,290.91,-159.57,80.93,,,
00:15.2,419.57,1.56,291.29,-158.32,80.14,,,
00:15.3,420.67,2.59,291.7,-157.1,79.41,,,
00:15.3,421.77,3.6,292.13,-155.91,78.74,,,
00:15.4,422.86,4.59,292.58,-154.69,78.12,,,
00:15.4,423.94,5.57,293.05,-153.33,77.54,,,
00:15.5,425.02,6.52,293.54,-151.8,77.02,,,
00:15.6,426.08,7.46,294.05,-150.17,76.49,,,
00:15.6,427.14,8.38,294.57,-148.6,75.88,,,
00:15.7,428.19,9.27,295.12,-147.1,75.15,,,
00:15.7,429.23,10.14,295.69,-145.63,74.36,,,
00:15.8,430.26,10.99,296.27,-144.18,73.6,,,
00:15.8,431.28,11.81,296.87,-142.8,72.9,,,
00:15.9,432.28,12.61,297.49,-141.47,72.22,,,
00:15.9,433.28,13.38,298.12,-140.06,71.55,,,
00:16.0,434.27,14.13,298.76,-138.56,70.91,,,
00:16.0,435.25,14.86,299.42,-137.03,70.28,,,
00:16.1,436.23,15.57,300.09,-135.51,69.69,,,
00:16.1,437.19,16.25,300.77,-134,69.17,,,
00:16.1,438.15,16.91,301.46,-132.41,68.76,,,
00:16.2,439.1,17.54,302.18,-130.76,68.44,,,
00:16.3,440.05,18.15,302.9,-129.11,68.12,,,
00:16.3,441,18.73,303.64,-127.45,67.79,,,
00:16.3,441.94,19.29,304.4,-125.8,67.46,,,
00:16.4,442.88,19.82,305.17,-124.16,67.13,,,
00:16.5,443.81,20.33,305.95,-122.56,66.81,,,
00:16.5,444.73,20.81,306.74,-120.99,66.5,,,
00:16.6,445.66,21.27,307.53,-119.39,66.18,,,
00:16.6,446.57,21.71,308.34,-117.72,65.88,,,
00:16.6,447.49,22.12,309.16,-116.04,65.59,,,
00:16.7,448.4,22.5,309.98,-114.41,65.28,,,
00:16.7,449.3,22.86,310.81,-112.75,64.96,,,
00:16.8,450.2,23.2,311.64,-111.01,64.62,,,
00:16.9,451.1,23.51,312.48,-109.22,64.28,,,
00:16.9,451.99,23.79,313.33,-107.46,63.94,,,
00:16.9,452.88,24.04,314.18,-105.75,63.6,,,
00:17.0,453.76,24.26,315.03,-104.05,63.25,,,
00:17.0,454.64,24.45,315.89,-102.32,62.92,,,
00:17.1,455.52,24.61,316.74,-100.6,62.62,,,
00:17.1,456.38,24.75,317.6,-99.04,62.36,,,
00:17.2,457.25,24.87,318.45,-97.63,62.08,,,
00:17.3,458.11,24.96,319.31,-96.09,61.76,,,
00:17.3,458.96,25.03,320.16,-94.31,61.46,,,
00:17.4,459.81,25.08,321.01,-92.4,61.2,,,
00:17.4,460.66,25.11,321.86,-90.57,60.95,,,
00:17.5,461.51,25.11,322.7,-88.91,60.64,,,
00:17.5,462.35,25.09,323.54,-87.24,60.3,,,
00:17.6,463.18,25.04,324.38,-85.52,59.99,,,
