,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:14.0,670.56,-252.07,42.48,2.16,78.18,,,
00:14.1,671.63,-253.14,42.45,0.59,76.31,,,
00:14.1,672.68,-254.19,42.44,-1.06,74.61,,,
00:14.2,673.71,-255.22,42.47,-2.56,72.8,,,
00:14.2,674.71,-256.21,42.52,-4.09,71.08,,,
00:14.3,675.69,-257.19,42.61,-5.71,69.59,,,
00:14.3,676.64,-258.14,42.72,-7.34,68.24,,,
00:14.3,677.59,-259.07,42.86,-9.11,67.16,,,
00:14.4,678.51,-259.98,43.03,-11,66.24,,,
00:14.5,679.43,-260.87,43.22,-12.92,65.36,,,
00:14.5,680.33,-261.74,43.44,-14.88,64.49,,,
00:14.6,681.22,-262.6,43.69,-16.99,63.65,,,
00:14.6,682.11,-263.43,43.97,-19.19,62.83,,,
00:14.6,682.98,-264.24,44.28,-21.35,61.96,,,
00:14.7,683.83,-265.03,44.61,-23.42,61.05,,,
00:14.7,684.68,-265.79,44.96,-25.48,60.16,,,
00:14.8,685.51,-266.53,45.34,-27.54,59.35,,,
00:14.8,686.33,-267.24,45.75,-29.65,58.55,,,
00:14.9,687.14,-267.93,46.17,-31.85,57.77,,,
00:14.9,687.95,-268.59,46.62,-34.14,57,,,
00:15.0,688.74,-269.22,47.09,-36.49,56.25,,,
00:15.0,689.52,-269.83,47.57,-38.77,55.52,,,
00:15.1,690.29,-270.4,48.08,-40.99,54.78,,,
00:15.1,691.05,-270.95,48.6,-43.18,54.08,,,
00:15.2,691.8,-271.47,49.13,-45.37,53.44,,,
00:15.2,692.54,-271.96,49.68,-47.63,52.84,,,
00:15.3,693.27,-272.43,50.24,-49.96,52.31,,,
00:15.3,694,-272.87,50.82,-52.41,51.78,,,
00:15.4,694.73,-273.27,51.41,-55.02,51.25,,,
00:15.4,695.44,-273.64,52.01,-57.72,50.74,,,
00:15.5,696.15,-273.98,52.62,-60.42,50.22,,,
00:15.6,696.85,-274.29,53.25,-63.06,49.7,,,
00:15.6,697.55,-274.56,53.88,-65.71,49.18,,,
00:15.7,698.24,-274.79,54.52,-68.39,48.66,,,
00:15.7,698.92,-274.99,55.16,-71.09,48.16,,,
00:15.8,699.59,-275.16,55.8,-73.77,47.69,,,
00:15.8,700.26,-275.3,56.44,-76.46,47.21,,,
00:15.9,700.92,-275.41,57.09,-79.27,46.71,,,
00:15.9,701.58,-275.48,57.73,-82.03,46.25,,,
00:16.0,702.23,-275.52,58.37,-84.81,45.77,,,
00:16.0,702.87,-275.53,59,-87.83,45.26,,,
00:16.1,703.51,-275.5,59.62,-90.82,44.8,,,
00:16.1,704.14,-275.45,60.24,-93.65,44.39,,,
00:16.1,704.76,-275.36,60.85,-96.57,44.15,,,
