,sLapDistance,xCarX,xCarY,aYaw,vCar
00:11.1,572.57,-168.57,4.06,-7.15,105.95
00:11.1,574.04,-170.02,4.24,-8.27,104.57
00:11.2,575.48,-171.45,4.44,-9.37,103.19
00:11.2,576.9,-172.85,4.67,-10.49,101.86
00:11.3,578.31,-174.24,4.93,-11.71,100.57
00:11.3,579.7,-175.6,5.2,-12.94,99.36
00:11.4,581.07,-176.93,5.51,-14.12,98.21
00:11.4,582.42,-178.25,5.83,-15.33,97.07
00:11.5,583.77,-179.55,6.18,-16.66,95.91
00:11.5,585.09,-180.82,6.55,-18.06,94.86
00:11.6,586.4,-182.07,6.94,-19.23,93.94
00:11.6,587.7,-183.3,7.36,-20.34,93.05
00:11.6,588.98,-184.51,7.8,-21.83,92.2
00:11.7,590.26,-185.69,8.27,-23.23,91.47
00:11.7,591.52,-186.86,8.75,-24.21,90.76
00:11.8,592.77,-188.01,9.26,-25.38,89.99
00:11.8,594.02,-189.14,9.79,-27.38,89.29
00:11.9,595.26,-190.24,10.35,-29.6,88.71
00:11.9,596.49,-191.31,10.94,-31.56,88.15
00:12.0,597.71,-192.36,11.56,-33.26,87.67
00:12.0,598.92,-193.39,12.22,-34.94,87.22
00:12.1,600.13,-194.38,12.91,-36.63,86.92
00:12.2,601.34,-195.36,13.61,-38.04,86.67
00:12.2,602.54,-196.31,14.35,-39.33,86.37
00:12.3,603.73,-197.24,15.1,-41.14,86.03
00:12.3,604.93,-198.15,15.88,-42.97,85.77
00:12.4,606.12,-199.02,16.68,-44.4,85.47
00:12.4,607.3,-199.87,17.5,-45.92,85.16
00:12.4,608.48,-200.7,18.35,-47.54,84.93
00:12.5,609.66,-201.5,19.21,-48.82,84.71
00:12.6,610.83,-202.27,20.1,-50.11,84.43
00:12.6,612,-203.02,21,-51.85,84.21
00:12.7,613.17,-203.75,21.91,-53.54,84.02
00:12.7,614.34,-204.44,22.85,-54.83,83.74
00:12.8,615.5,-205.12,23.79,-55.76,83.4
00:12.8,616.65,-205.77,24.74,-56.14,83.06
00:12.9,617.81,-206.42,25.69,-55.86,82.69
00:12.9,618.95,-207.08,26.63,-54.97,82.29
00:12.9,620.09,-207.75,27.55,-53.67,81.89
00:13.0,621.23,-208.44,28.46,-52.16,81.45
00:13.1,622.36,-209.14,29.33,-50.39,81.01
00:13.1,623.48,-209.87,30.19,-48.38,80.59
00:13.1,624.6,-210.62,31.02,-46.35,80.17
00:13.2,625.71,-211.39,31.82,-44.37,79.75
00:13.2,626.81,-212.18,32.59,-42.36,79.36
00:13.3,627.91,-212.99,33.33,-40.27,79.02
00:13.3,629.01,-213.82,34.05,-38.19,78.71
00:13.4,630.1,-214.67,34.73,-36.31,78.41
00:13.4,631.19,-215.54,35.38,-34.6,78.07
00:13.5,632.27,-216.43,36,-32.9,77.74
00:13.6,633.35,-217.33,36.59,-31.15,77.46
00:13.6,634.42,-218.24,37.15,-29.52,77.28
00:13.6,635.49,-219.18,37.68,-28.04,77.35
00:13.7,636.57,-220.12,38.19,-26.51,77.45
00:13.8,637.65,-221.09,38.66,-24.63,77.68
00:13.8,638.73,-222.08,39.11,-22.71,78.08
00:13.9,639.82,-223.08,39.52,-21.17,78.58
00:13.9,640.91,-224.11,39.91,-19.85,79.09
00:14.0,642.02,-225.15,40.28,-18.26,79.74
00:14.0,643.13,-226.21,40.61,-16.55,80.41
00:14.1,644.25,-227.28,40.93,-14.86,81.11
00:14.1,645.38,-228.38,41.22,-13.21,81.75
00:14.2,646.52,-229.49,41.48,-11.48,82.52
00:14.2,647.67,-230.61,41.71,-9.8,83.25
00:14.3,648.83,-231.76,41.92,-8.14,83.95
00:14.3,650.01,-232.91,42.09,-6.52,84.71
00:14.3,651.19,-234.09,42.22,-5.08,85.47
00:14.4,652.38,-235.28,42.33,-3.72,86.37
00:14.5,653.59,-236.48,42.41,-2.26,87.34
00:14.5,654.81,-237.7,42.45,-0.74,88.45
00:14.6,656.05,-238.94,42.47,0.61,89.65
00:14.6,657.3,-240.19,42.46,1.87,91.04
00:14.6,658.57,-241.46,42.42,3.03,92.37
00:14.7,659.86,-242.75,42.35,4.07,93.11
00:14.7,661.15,-244.04,42.26,5.14,93.15
00:14.8,662.44,-245.33,42.15,5.98,92.39
00:14.8,663.72,-246.6,42.03,5.93,91.39
00:14.9,664.98,-247.85,41.92,5.04,90.2
00:14.9,666.23,-249.09,41.84,3.76,88.81
00:15.0,667.45,-250.32,41.77,2.38,87.36
00:15.0,668.65,-251.52,41.73,0.95,85.89
00:15.1,669.84,-252.7,41.72,-0.67,84.38
00:15.1,671,-253.86,41.74,-2.51,82.83
00:15.2,672.14,-255,41.8,-4.46,81.22
00:15.2,673.26,-256.11,41.88,-6.39,79.62
00:15.3,674.35,-257.2,42,-8.25,78.09
00:15.3,675.43,-258.27,42.15,-10.05,76.58
00:15.4,676.48,-259.3,42.33,-11.88,75.11
00:15.4,677.51,-260.32,42.54,-13.83,73.8
00:15.5,678.53,-261.3,42.78,-15.79,72.5
00:15.6,679.53,-262.27,43.04,-17.7,71.09
00:15.6,680.51,-263.2,43.33,-19.87,69.79
00:15.7,681.47,-264.11,43.65,-22.07,68.55
00:15.7,682.41,-264.99,43.99,-24.17,67.26
00:15.8,683.34,-265.83,44.36,-26.22,65.93
00:15.8,684.24,-266.65,44.75,-28.25,64.61
00:15.9,685.13,-267.44,45.16,-30.27,63.32
00:15.9,686,-268.19,45.6,-32.27,62.01
00:16.0,686.85,-268.91,46.05,-34.25,60.66
00:16.0,687.69,-269.6,46.53,-36.25,59.36
00:16.1,688.51,-270.25,47.02,-38.24,58.12
00:16.1,689.31,-270.87,47.52,-40.2,56.84
00:16.1,690.09,-271.45,48.04,-42.18,55.53
00:16.2,690.86,-272,48.57,-44.29,54.26
00:16.3,691.6,-272.51,49.11,-46.49,53.05
00:16.3,692.34,-272.99,49.66,-48.73,51.89
00:16.3,693.05,-273.44,50.21,-51.08,50.78
00:16.4,693.76,-273.85,50.78,-53.56,49.75
00:16.5,694.45,-274.22,51.35,-56.18,48.86
00:16.5,695.13,-274.56,51.93,-58.92,48.14
00:16.6,695.81,-274.86,52.52,-61.68,47.53
00:16.6,696.47,-275.13,53.12,-64.43,47
00:16.6,697.13,-275.37,53.73,-67.22,46.54
00:16.7,697.79,-275.57,54.34,-70.09,46.14
00:16.7,698.44,-275.73,54.96,-73,45.83
00:16.8,699.08,-275.87,55.58,-75.87,45.55
00:16.9,699.73,-275.97,56.2,-78.69,45.25
00:16.9,700.36,-276.04,56.82,-81.64,44.88
00:16.9,700.99,-276.08,57.44,-84.61,44.57
00:17.0,701.62,-276.08,58.06,-87.51,44.25
00:17.0,702.25,-276.06,58.67,-90.61,43.9
00:17.1,702.87,-276,59.27,-93.85,43.59
00:17.1,703.48,-275.91,59.87,-96.83,43.41
00:17.2,704.1,-275.78,60.46,-99.7,43.43
00:17.3,704.71,-275.63,61.04,-102.61,43.57
00:17.3,705.33,-275.45,61.62,-105.33,43.81
00:17.4,705.95,-275.24,62.19,-107.94,44.13
00:17.4,706.58,-275,62.76,-110.69,44.49
00:17.5,707.21,-274.73,63.32,-113.65,45.08
00:17.5,707.85,-274.43,63.88,-116.66,45.79
00:17.6,708.5,-274.1,64.43,-119.58,46.65
00:17.6,709.17,-273.74,64.97,-122.41,47.6
00:17.6,709.84,-273.35,65.51,-125.23,48.69
00:17.7,710.54,-272.92,66.05,-127.95,49.95
00:17.7,711.25,-272.46,66.58,-130.58,51.24
00:17.8,711.97,-271.97,67.11,-133.29,52.48
00:17.8,712.72,-271.45,67.63,-136,53.65
00:17.9,713.47,-270.89,68.13,-138.82,54.67
00:17.9,714.24,-270.31,68.63,-141.81,55.61
00:18.0,715.03,-269.69,69.1,-144.71,56.53
00:18.0,715.82,-269.05,69.56,-147.27,57.42
00:18.1,716.63,-268.38,70.01,-149.33,58.43
