,sLapDistance,xCarX,xCarY,vCar
00:15.4,776.83,267.87,165.22,111.58
00:15.4,778.39,267.84,166.77,112.22
00:15.5,779.95,267.77,168.33,112.91
00:15.6,781.52,267.66,169.9,113.63
00:15.6,783.1,267.52,171.48,114.38
00:15.7,784.7,267.33,173.06,115.15
00:15.7,786.3,267.11,174.65,115.96
00:15.8,787.92,266.84,176.24,116.83
00:15.8,789.55,266.53,177.84,117.72
00:15.9,791.19,266.18,179.44,118.65
00:15.9,792.84,265.79,181.05,119.59
00:16.0,794.51,265.36,182.66,120.53
00:16.0,796.19,264.88,184.27,121.46
00:16.1,797.88,264.37,185.89,122.4
00:16.1,799.59,263.83,187.5,123.31
00:16.1,801.31,263.25,189.12,124.22
00:16.2,803.04,262.63,190.74,125.1
00:16.3,804.78,261.97,192.35,126
00:16.3,806.54,261.27,193.96,126.96
00:16.3,808.31,260.53,195.57,127.99
00:16.4,810.09,259.76,197.17,129.03
00:16.5,811.89,258.95,198.78,130.06
00:16.5,813.7,258.12,200.39,131.08
00:16.6,815.53,257.24,202,132
00:16.6,817.37,256.34,203.59,132.64
00:16.6,819.21,255.4,205.18,133.01
00:16.7,821.06,254.43,206.75,133.37
00:16.7,822.91,253.42,208.32,133.76
00:16.8,824.77,252.39,209.86,134.11
00:16.9,826.63,251.31,211.38,134.46
00:16.9,828.5,250.2,212.89,134.92
00:16.9,830.38,249.04,214.37,135.46
00:17.0,832.26,247.86,215.84,136.03
00:17.0,834.16,246.66,217.3,136.74
00:17.1,836.06,245.41,218.74,137.48
00:17.1,837.97,244.13,220.15,138.22
00:17.2,839.9,242.8,221.55,138.87
00:17.3,841.82,241.45,222.92,138.19
00:17.3,843.73,240.1,224.27,136.52
00:17.4,845.61,238.75,225.59,134.44
00:17.4,847.46,237.43,226.88,132.16
00:17.5,849.28,236.13,228.16,129.69
00:17.5,851.06,234.87,229.42,127.21
00:17.6,852.82,233.66,230.68,125.09
00:17.6,854.54,232.48,231.94,123.28
00:17.6,856.24,231.34,233.2,121.79
00:17.7,857.93,230.22,234.47,120.68
00:17.7,859.59,229.14,235.73,119.76
00:17.8,861.25,228.09,237.01,118.9
00:17.8,862.9,227.06,238.3,118.16
00:17.9,864.53,226.08,239.61,117.57
00:17.9,866.16,225.13,240.94,117.07
00:18.0,867.78,224.22,242.28,116.54
00:18.0,869.39,223.35,243.64,115.97
00:18.1,871,222.52,245.01,115.37
00:18.1,872.59,221.74,246.41,114.77
00:18.2,874.18,221,247.81,114.19
00:18.3,875.76,220.3,249.23,113.6
00:18.3,877.33,219.65,250.67,112.98
00:18.4,878.9,219.05,252.11,112.36
00:18.4,880.46,218.49,253.56,111.78
00:18.4,882,217.98,255.03,111.23
00:18.5,883.54,217.51,256.49,110.68
00:18.6,885.08,217.09,257.97,110.1
00:18.6,886.6,216.72,259.45,109.48
00:18.6,888.12,216.39,260.93,108.84
00:18.7,889.63,216.12,262.41,108.34
00:18.7,891.13,215.9,263.89,108.28
00:18.8,892.64,215.72,265.39,108.47
00:18.8,894.15,215.59,266.89,108.78
00:18.9,895.66,215.5,268.4,109.06
